Scheme Code,Scheme Name
119472,Principal Equity Savings Fund - Direct Plan - Growth Option
119474,Principal Money Manager Fund- Direct Plan -Growth Option
119479,Principal Debt Savings Fund  - Direct Plan -Growth Option
119480,Principal Bank CD Fund - Direct Plan - Growth Option
119482,Principal Smart Equity Fund - Direct Plan - Growth Option
119484,Principal Balanced Fund- Direct Plan - Growth Option
119488,Principal Index Fund- Nifty - Direct Plan - Growth Option
119490,Aditya Birla Sun Life Asset Allocation-Conservative Plan - Growth - Direct Plan
119493,Aditya Birla Sun Life Asset Allocation - Aggressive Plan - Growth - Direct Plan
119495,Aditya Birla Sun Life Asset Allocation - Moderate Plan - Growth - Direct Plan
119498,Aditya Birla Sun Life Short Term Opportunities Fund - Growth - Direct Plan
119501,Aditya Birla Sun Life Savings Fund - Growth - Direct Plan
119505,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan
119507,Aditya Birla Sun Life Dividend Yield Plus - Growth - Direct Plan
119509,Birla Sun Life Floating Rate - Long Term - Growth - Direct Plan
119511,Aditya Birla Sun Life Floating Rate - Short Term - Growth - Direct Plan
119514,Aditya Birla Sun Life Infrastructure Fund - Growth - Direct Plan
119517,Aditya Birla Sun Life International Equity Fund - Plan A - Growth - Direct Plan
119518,Aditya Birla Sun Life International Equity Fund - Plan B - Growth - Direct Plan
119520,Aditya Birla Sun Life Long Term Advantage - Growth - Direct Plan
119523,Aditya Birla Sun Life Cash Manager - Growth - Direct Plan
119526,Aditya Birla Sun Life Enhanced Arbitrage Fund - Growth - Direct Plan
119528,Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan
119529,Aditya Birla Sun Life Government Securities Fund - Short Term Plan - Growth - Direct Plan
119533,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan
119536,Aditya Birla Sun Life India Reforms Fund - Growth - Direct Plan
119539,Aditya Birla Sun Life Medium Term Plan - Growth - Direct Plan
119542,Sundaram Balanced Fund - Direct Plan - Growth Option
119544,Aditya Birla Sun Life Tax Relief '96 - Growth - Direct Plan
119546,Aditya Birla Sun Life Special Situations Fund - Growth - Direct Plan
119549,Sundaram Diversified Equity - A Long-term Tax Saver Fund - Direct Plan - Growth Option
119550,Aditya Birla Sun Life Treasury Optimizer Plan - Direct Plan-Growth
119555,Sundaram Select Thematic Funds Capex Opportunities -Direct Plan - Growth Option
119556,Aditya Birla Sun Life Small And Midcap Fund - Growth - Direct Plan
119559,Sundaram Select Thematic Funds Energy Opportunities -Direct Plan - Growth Option
119564,Aditya Birla Sun Life Top 100 Fund - Growth - Direct Plan
